Candidate,Profile Mean,Profile STDEV,Profile Skew,Profile Kurt,DM Mean,DM STDEV,DM Skew,DM Kurt
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-06-14-14:42:14.09.fil_sigproc_029.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-09-02-03:36:18.10.fil_sigproc_039.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-11-30-16:48:17.05.fil_sigproc_005.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-12-02-09:00:26.08.fil_sigproc_098.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-12-02-17:33:56.10.fil_sigproc_082.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-12-04-10:17:09.10.fil_sigproc_090.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-12-04-21:40:25.03.fil_sigproc_076.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-03-08-01:04:47.11.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-03-08-23:32:53.09.fil_sigproc_094.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-04-18-14:53:28.09.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-04-19-13:30:16.10.fil_sigproc_002.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-04-19-13:40:33.01.fil_sigproc_002.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-04-19-14:11:13.12.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-04-20-15:46:22.03.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-04-21-12:09:10.01.fil_sigproc_082.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-04-22-06:53:23.04.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/2009-04-22-14:58:02.11.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-06-03-10:47:54.06.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-06-03-18:05:29.06.fil_sigproc_068.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-06-03-19:03:08.09.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-06-04-10:01:42.01.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-06-04-16:03:03.12.fil_sigproc_071.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-06-14-14:03:35.06.fil_sigproc_004.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-06-24-00:56:51.09.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-06-28-01:48:03.04.fil_sigproc_037.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-08-16-13:07:05.02.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_i/2009-08-19-05:43:11.07.fil_sigproc_141.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-08-20-01:39:23.06.fil_sigproc_104.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-08-24-05:09:51.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-08-26-13:23:32.11.fil_sigproc_088.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-09-10-00:24:54.13.fil_sigproc_012.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-09-11-02:53:23.fil_sigproc_037.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-09-13-01:02:10.12.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-09-13-01:32:00.07.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-10-24-00:37:30.02.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-10-24-00:37:30.02.fil_sigproc_039.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_a/directory_2_a_ii/2009-10-24-00:37:30.09.fil_sigproc_047.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-05-06-05:52:25.05.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-05-06-05:52:25.05.fil_sigproc_004.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-05-29-12:00:56.10.fil_sigproc_075.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-05-29-12:21:43.09.fil_sigproc_077.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-05-29-18:51:53.07.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-05-30-10:52:43.02.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-05-30-11:33:31.10.fil_sigproc_040.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-05-30-13:05:52.06.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-06-03-02:23:50.03.fil_sigproc_012.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/2009-06-03-03:46:04.02.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2009-10-25-06:20:18.02.fil_sigproc_065.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2009-12-19-02:18:12.03.fil_sigproc_047.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2009-12-19-15:14:39.10.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2009-12-22-23:22:20.07.fil_sigproc_002.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2009-12-24-21:16:33.05.fil_sigproc_008.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2009-12-27-22:59:33.05.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2009-12-28-14:24:01.05.fil_sigproc_021.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2009-12-29-22:54:29.02.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2010-01-02-12:55:41.07.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_i/2010-01-13-21:23:36.03.fil_sigproc_002.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-01-14-01:43:08.04.fil_sigproc_004.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-01-24-23:36:42.04.fil_sigproc_003.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-01-25-00:28:09.04.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-01-26-02:29:59.10.fil_sigproc_051.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-01-28-02:21:08.10.fil_sigproc_034.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-01-28-21:28:49.10.fil_sigproc_003.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-01-28-22:06:25.09.fil_sigproc_096.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-01-28-23:40:11.02.fil_sigproc_014.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-03-27-11:31:15.04.fil_sigproc_074.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/directory_2_b/directory_2_b_ii/2010-05-14-17:16:32.10.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
